(1, 1.3474185803993552)
(1, 1.3757993617307793)
(2, 1.3852254931927959)
(4, 1.4007284837878087)
(0, 1.4100857021100202)
(4, 1.3914045961939783)
(0, 1.3947887777354855)
(4, 1.3881182222024984)
(1, 1.3863255936671217)
(0, 1.3933043317301856)
(1, 1.3756107472678039)
(2, 1.4124642405373427)
(3, 1.3916789087263703)
(2, 1.383824525050123)
(3, 1.3934613445552564)
(1, 1.4088376581162108)
(4, 1.413024500413236)
(3, 1.4062334986306146)
(1, 1.4026255555708038)
(1, 1.3887846723078086)
(1, 1.4083107683542442)
(0, 1.4085200928461479)
(1, 1.3958858166623647)
(0, 1.3801150682451229)
(4, 1.4018514162954192)
(2, 1.2401230382964274)
(2, 1.375309228844749)
(0, 1.4008644388223372)
(3, 1.4075844532598625)
(0, 1.4046951592589498)
(4, 1.3871425948863034)
(1, 1.3793452005116762)
(1, 1.41162813974942)
(2, 1.3916732834927892)
(4, 1.4051556010119395)
(3, 1.3943656451352378)
(4, 1.4125725642859128)
(3, 1.378219647806696)
(0, 1.4114900754721864)
(0, 1.391876478717447)
(3, 1.4040413074209732)
(4, 1.411396983379661)
(1, 1.3832346845390187)
(4, 1.3323219019322485)
(1, 1.3994054058616427)
(2, 1.409907217901062)
(0, 1.4102863845578624)
(0, 1.4064046664360563)
(3, 1.3971173918896589)
(4, 1.409209055345044)
(2, 1.3891976462811775)
(2, 1.4068169400105146)
(2, 1.378499028533413)
(2, 1.3953398553151621)
(3, 1.4067394117467589)
(4, 1.3449206530276863)
(3, 1.413177632805878)
(4, 1.3818682580981978)
(1, 1.4100592456529082)
(2, 1.3940416369149136)
(3, 1.4025408874755156)
(3, 1.291580315287705)
(0, 1.3843546666932682)
(1, 1.3994810934671735)
(0, 1.3981417204463031)
(2, 1.4102156732203193)
(3, 1.398207345608148)
(2, 1.3911968052051107)
(4, 1.4069317587723928)
(0, 1.3645200525928847)
(4, 1.3915879413495227)
(0, 1.408337140486577)
(2, 1.3694248700482226)
(4, 1.4027659894840525)
(1, 1.3990132103331718)
(0, 1.395044416112981)
(2, 1.397169394468104)
(3, 1.3624112354275697)
(2, 1.4105528420282274)
(4, 1.3232855397452348)
(0, 1.3911191121375743)
(1, 1.3969187189977121)
(4, 1.3849650090728105)
(2, 1.4001672173310251)
(3, 1.2980871621923338)
(1, 1.4096933402077059)
(4, 1.4036797122752245)
(2, 1.403038128485175)
(0, 1.4012986458416763)
(3, 1.396644676938701)
(3, 1.3910325781547324)
(4, 1.4068572858949193)
(1, 1.399703750383438)
(1, 1.3859429322483057)
(3, 1.3867324553368665)
(2, 1.3994338045631716)
(0, 1.4085821961085112)
(2, 1.3896608454740444)
(3, 1.4072595115910322)
(4, 1.3963155896821429)
(4, 1.3988367588599186)
(3, 1.4047875376516763)
(2, 1.3969009347568981)
(3, 1.3921704496704275)
(4, 1.392447597734483)
(0, 1.396840571546566)
(2, 1.4108119426216454)
(3, 1.3971494736000654)
(0, 1.4090852454152385)
(4, 1.3969991882993724)
(0, 1.4031585060767924)
(2, 1.408280445263278)
(2, 1.41158757379373)
(3, 1.3897176747342492)
(1, 1.377433680178034)
(3, 1.4113149599557737)
(1, 1.3917518933552824)
(1, 1.3862652543339913)
(4, 1.3977730809825626)
(4, 1.3950716543023813)
(3, 1.4053133707261434)
(4, 1.408506230473542)
(4, 1.3952466663545073)
(0, 1.3947900901700285)
(3, 1.408499227576134)
(4, 1.364535347864366)
(3, 1.4122568649579312)
(0, 1.3863074326190625)
(1, 1.3925799760582336)
(3, 1.389644361776787)
(3, 1.3777537190067952)
(1, 1.3927028346432635)
(1, 1.3776239188620456)
(4, 1.4071432613219836)
(0, 1.3844590278733753)
(3, 1.3495436339641864)
(0, 1.4106632979497296)
(3, 1.386377261384929)
(1, 1.321893559130628)
(1, 1.403492898661476)
(3, 1.3824168660914997)
(2, 1.3855204435878616)
(2, 1.395972151115869)
(4, 1.402604388861205)
(3, 1.3947233221195576)
(4, 1.4097162828645369)
(2, 1.4088852670330687)
(3, 1.407958760893234)
(3, 1.3801983818005772)
(0, 1.3832232303616963)
(2, 1.4040912169910837)
(4, 1.3748411024236975)
(1, 1.4066343742534744)
(4, 1.0587001190365994)
(2, 1.3824721125870918)
(3, 1.4059818106580684)
(3, 1.4060573859455379)
(4, 1.398007421454618)
(2, 1.40220190321927)
(2, 1.4058536103804962)
(0, 1.3974949463745494)
(0, 1.395924779237791)
(1, 1.390183171367396)
(2, 1.4016988891773077)
(0, 1.3994390392438458)
(1, 1.4087353583234314)
(2, 1.4065861227800898)
(1, 1.4050914253973572)
(0, 1.4016826874749138)
(4, 1.4003792201045087)
(0, 1.4091872012915587)
(3, 1.4114925812165249)
(2, 1.4042977259029275)
(4, 1.4000917964040962)
(3, 1.3994028897691115)
(2, 1.3917204120377344)
(4, 1.4115639758826357)
(3, 1.3927536787198114)
(3, 1.398250009846691)
(2, 1.4100668256621984)
(0, 1.397116814547238)
(2, 1.389131096574418)
(3, 1.4005479677461314)
(3, 1.40633296436351)
(4, 1.4047302149813485)
(4, 1.4047878674213259)
(4, 1.398626465479096)
(4, 1.3901914888145108)
(4, 1.4038143896204456)
(0, 1.367657870171942)
(1, 1.3802112343940356)
(2, 1.4035669640629724)
(1, 1.3852563843593226)
(3, 1.403818190648208)
(2, 1.3950079931225607)
(1, 1.404955647147907)
(2, 1.3865991121230443)
(0, 1.4098839884101226)
(0, 1.3939435514003347)
(2, 1.3993946436972557)
(4, 1.4041605939316972)
(4, 1.3975161215007617)
(1, 1.3625071458960254)
(2, 1.3931968112071034)
(2, 1.3950163953029744)
(2, 1.3843461296158)
(1, 1.4024898196858022)
(3, 1.394267967537116)
(2, 1.3943561865527654)
(1, 1.3680040387595125)
(3, 1.3600878777432026)
(3, 1.4016797438981012)
(0, 1.3805984546610393)
(0, 1.3976459680017024)
(3, 1.3647411158972325)
(3, 1.4047907848421524)
(2, 1.4031518612414595)
(0, 1.4074994377022574)
(3, 1.3863533845868126)
(3, 1.3866805253012555)
(2, 1.4097648684261403)
(4, 1.4063900297179843)
(3, 1.3968358669213077)
(2, 1.3848319522248997)
(4, 1.3997804597351389)
(2, 1.3889928790583352)
(1, 1.3951976158264567)
(3, 1.2992146379376779)
(1, 1.3677633268895653)
(1, 1.4016250251121238)
(4, 1.4036850309619944)
(1, 1.4050840323114997)
(3, 1.4096080638641575)
(4, 1.3920675376397456)
(4, 1.4015195702507155)
